date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:17	56148/56148	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fd-db54%22	https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/home-104b9.html	(from )
18:06:17	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Sep%202024%2023:06:18%20GMT	https://miller.bslthemes.com/robots.txt		(from )
18:06:18	71784/71784	---MCZ	200	added ('OK')	text/css	etag:W/%2265490200-11868%22	https://miller.bslthemes.com/ashley-demo/css/plugins/bootstrap-grid.css	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/css/plugins/bootstrap-grid.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:18	54619/54619	---MCZ	200	added ('OK')	text/css	etag:W/%2265490200-d55b%22	https://miller.bslthemes.com/ashley-demo/css/plugins/font-awesome.min.css	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/css/plugins/font-awesome.min.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:18	16460/16460	---MCZ	200	added ('OK')	text/css	etag:W/%2265490200-404c%22	https://miller.bslthemes.com/ashley-demo/css/plugins/swiper.min.css	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/css/plugins/swiper.min.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:18	0/0	---M--	200	added ('OK')	text/css	etag:%2265490200-0%22	https://miller.bslthemes.com/ashley-demo/css/plugins/fancybox.min.css	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/css/plugins/fancybox.min.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:18	95058/95058	---MCZ	200	added ('OK')	text/css	etag:W/%22654901ff-17352%22	https://miller.bslthemes.com/ashley-demo/css/style.css	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/css/style.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:19	56148/56148	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fd-db54%22	https://miller.bslthemes.com/ashley-demo/home-1.html	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/home-1.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:19	20568/20568	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-5058%22	https://miller.bslthemes.com/ashley-demo/home-2.html	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/home-2.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
18:06:19	30972/30972	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-78fc%22	https://miller.bslthemes.com/ashley-demo/portfolio-3.html	D:/Yanshu/UNSCH/UNSCH%202023-2/Web%20Dev/HANDY/Luu/miller.bslthemes.com/ashley-demo/portfolio-3.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html?storefront=envato-elements)
